Entity,Code,Year,sg_law_nodc_hr_yes_count,sg_law_eqrm_wk_yes_count,sh_mmr_leve_al_yes_count,sg_leg_dvaw_yes_count,sg_own_prrt_im_yes_count,sg_bus_regt_eq_yes_count
Africa,,1970,1,0,12,0,22,37
Africa,,1971,1,0,12,0,22,37
Africa,,1972,1,0,12,0,22,37
Africa,,1973,2,1,13,0,23,38
Africa,,1974,2,1,13,0,23,38
Africa,,1975,2,1,13,0,23,38
Africa,,1976,2,1,13,0,23,38
Africa,,1977,2,1,13,0,23,38
Africa,,1978,2,1,13,0,24,39
Africa,,1979,2,1,13,0,24,39
Africa,,1980,2,1,13,0,25,40
Africa,,1981,3,1,14,0,26,40
Africa,,1982,3,1,14,0,27,41
Africa,,1983,3,1,14,0,27,42
Africa,,1984,4,1,16,0,27,42
Africa,,1985,4,1,16,0,27,42
Africa,,1986,5,1,16,0,27,42
Africa,,1987,5,1,16,0,27,42
Africa,,1988,5,2,17,0,28,43
Africa,,1989,5,2,17,0,28,43
Africa,,1990,6,3,17,0,29,43
Africa,,1991,6,3,17,0,29,43
Africa,,1992,6,3,17,0,31,43
Africa,,1993,12,4,19,0,31,43
Africa,,1994,13,4,19,0,32,44
Africa,,1995,16,5,20,0,32,44
Africa,,1996,16,5,20,0,33,45
Africa,,1997,18,7,20,1,33,45
Africa,,1998,19,8,21,1,34,45
Africa,,1999,20,8,21,3,34,45
Africa,,2000,22,10,21,4,35,45
Africa,,2001,22,10,21,4,36,45
Africa,,2002,23,10,21,4,36,45
Africa,,2003,25,10,22,4,36,45
Africa,,2004,27,11,23,6,36,45
Africa,,2005,29,12,23,7,39,47
Africa,,2006,31,14,24,7,40,48
Africa,,2007,32,15,24,12,40,48
Africa,,2008,36,16,24,14,41,48
Africa,,2009,38,16,24,17,42,49
Africa,,2010,39,17,25,19,42,49
Africa,,2011,40,17,26,19,42,49
Africa,,2012,40,17,26,22,42,49
Africa,,2013,40,19,26,22,43,49
Africa,,2014,41,21,26,24,43,49
Africa,,2015,41,21,26,25,43,49
Africa,,2016,43,23,28,27,43,49
Africa,,2017,44,23,28,28,43,50
Africa,,2018,46,25,28,33,43,50
Africa,,2019,46,26,30,34,44,50
Africa,,2020,47,26,31,35,44,50
Africa,,2021,47,27,31,37,45,50
Africa,,2022,47,28,31,39,45,50
Africa,,2023,48,29,33,41,45,50
Asia,,1970,1,0,8,0,40,43
Asia,,1971,1,0,8,0,40,43
Asia,,1972,3,0,8,0,40,43
Asia,,1973,5,0,8,0,40,43
Asia,,1974,5,0,8,0,41,44
Asia,,1975,5,0,8,0,41,44
Asia,,1976,5,0,8,0,41,44
Asia,,1977,5,0,8,0,41,44
Asia,,1978,5,0,8,0,41,44
Asia,,1979,5,0,8,0,41,44
Asia,,1980,5,0,8,0,41,44
Asia,,1981,5,0,8,0,41,44
Asia,,1982,5,0,8,0,41,44
Asia,,1983,5,0,8,0,41,44
Asia,,1984,5,0,8,0,41,44
Asia,,1985,5,0,8,0,41,43
Asia,,1986,5,0,9,0,41,43
Asia,,1987,6,0,9,2,41,43
Asia,,1988,8,0,9,2,41,44
Asia,,1989,8,1,9,2,41,44
Asia,,1990,9,1,9,2,42,44
Asia,,1991,9,1,9,3,43,44
Asia,,1992,9,1,9,3,43,44
Asia,,1993,9,1,9,3,43,44
Asia,,1994,10,1,9,3,43,44
Asia,,1995,13,1,10,4,43,44
Asia,,1996,15,2,10,4,43,44
Asia,,1997,18,3,10,4,43,44
Asia,,1998,19,3,10,5,43,44
Asia,,1999,19,3,10,5,43,44
Asia,,2000,22,3,10,6,43,44
Asia,,2001,22,3,10,7,43,44
Asia,,2002,23,3,11,7,44,44
Asia,,2003,24,4,11,8,44,44
Asia,,2004,25,4,14,9,44,45
Asia,,2005,26,4,14,12,44,45
Asia,,2006,26,4,15,17,44,45
Asia,,2007,27,5,17,17,44,45
Asia,,2008,28,5,17,20,44,45
Asia,,2009,28,5,18,21,44,45
Asia,,2010,29,5,18,22,44,45
Asia,,2011,29,6,18,25,44,45
Asia,,2012,29,7,18,26,45,45
Asia,,2013,30,8,19,29,45,45
Asia,,2014,30,8,20,30,45,45
Asia,,2015,30,8,20,31,45,45
Asia,,2016,30,9,21,32,45,45
Asia,,2017,31,9,22,33,45,45
Asia,,2018,32,10,23,34,45,45
Asia,,2019,34,12,25,35,45,45
Asia,,2020,34,13,25,36,45,46
Asia,,2021,35,14,26,36,45,45
Asia,,2022,35,15,26,36,45,46
Asia,,2023,36,16,28,37,45,46
Europe,,1970,0,3,24,0,33,37
Europe,,1971,0,3,25,0,33,37
Europe,,1972,2,3,26,0,33,37
Europe,,1973,4,4,27,0,34,38
Europe,,1974,4,4,28,0,34,39
Europe,,1975,4,7,29,0,34,40
Europe,,1976,5,7,31,0,34,40
Europe,,1977,6,8,31,0,35,41
Europe,,1978,8,9,32,0,36,42
Europe,,1979,10,11,32,0,37,42
Europe,,1980,13,12,32,0,37,42
Europe,,1981,14,12,33,0,37,42
Europe,,1982,15,12,33,1,38,42
Europe,,1983,16,12,33,1,39,42
Europe,,1984,17,12,34,1,39,42
Europe,,1985,17,12,34,1,40,42
Europe,,1986,18,12,34,1,41,42
Europe,,1987,19,13,35,1,41,42
Europe,,1988,19,13,37,1,41,42
Europe,,1989,19,14,37,2,41,42
Europe,,1990,19,14,38,2,41,42
Europe,,1991,20,15,38,2,41,42
Europe,,1992,20,15,38,2,41,42
Europe,,1993,20,15,38,2,41,42
Europe,,1994,20,16,39,2,42,42
Europe,,1995,23,18,39,4,42,42
Europe,,1996,24,18,40,5,42,42
Europe,,1997,24,18,40,7,42,42
Europe,,1998,25,18,40,8,42,42
Europe,,1999,26,19,40,9,42,42
Europe,,2000,27,19,40,9,42,42
Europe,,2001,27,20,41,9,42,42
Europe,,2002,32,23,40,10,42,42
Europe,,2003,35,27,40,13,42,42
Europe,,2004,39,29,40,15,42,42
Europe,,2005,40,29,40,17,42,42
Europe,,2006,40,29,41,22,42,42
Europe,,2007,41,29,41,26,42,42
Europe,,2008,41,29,41,28,42,42
Europe,,2009,41,32,41,30,42,42
Europe,,2010,41,33,41,31,42,42
Europe,,2011,42,34,42,32,42,42
Europe,,2012,42,34,42,35,42,42
Europe,,2013,42,34,42,35,42,42
Europe,,2014,42,34,42,38,42,42
Europe,,2015,42,34,42,40,42,42
Europe,,2016,42,35,42,40,42,42
Europe,,2017,42,35,42,40,42,42
Europe,,2018,42,36,42,40,42,42
Europe,,2019,42,36,42,40,42,42
Europe,,2020,42,36,42,40,42,42
Europe,,2021,42,36,42,40,42,42
Europe,,2022,42,36,42,40,42,42
Europe,,2023,42,36,42,40,42,42
North America,,1970,4,0,1,0,18,20
North America,,1971,4,0,1,0,18,20
North America,,1972,4,0,2,0,18,20
North America,,1973,4,0,2,0,18,20
North America,,1974,4,0,2,0,18,20
North America,,1975,4,0,2,0,18,20
North America,,1976,5,0,2,0,18,20
North America,,1977,5,0,2,0,19,20
North America,,1978,5,0,2,0,19,20
North America,,1979,5,0,2,0,19,21
North America,,1980,5,0,2,0,19,21
North America,,1981,5,0,2,0,19,21
North America,,1982,5,0,2,0,19,21
North America,,1983,5,0,2,0,19,22
North America,,1984,6,1,2,0,19,22
North America,,1985,6,1,2,0,19,22
North America,,1986,6,1,3,0,19,22
North America,,1987,6,2,3,0,19,22
North America,,1988,6,2,3,0,19,22
North America,,1989,6,2,3,0,19,22
North America,,1990,6,2,3,2,20,22
North America,,1991,6,2,3,2,20,22
North America,,1992,7,2,3,5,20,22
North America,,1993,7,2,3,6,20,22
North America,,1994,8,2,3,6,20,22
North America,,1995,8,2,3,8,20,23
North America,,1996,8,2,3,11,20,23
North America,,1997,9,2,3,15,20,23
North America,,1998,9,2,3,15,20,23
North America,,1999,9,2,3,16,21,23
North America,,2000,12,3,3,17,21,23
North America,,2001,13,3,4,17,21,23
North America,,2002,14,3,4,20,22,23
North America,,2003,14,3,4,20,22,23
North America,,2004,14,3,4,20,22,23
North America,,2005,15,3,4,20,22,23
North America,,2006,15,3,4,20,22,23
North America,,2007,15,4,4,21,22,23
North America,,2008,15,4,4,22,22,23
North America,,2009,15,4,4,22,22,23
North America,,2010,15,4,4,22,22,23
North America,,2011,15,4,4,22,22,23
North America,,2012,15,4,4,22,22,23
North America,,2013,16,4,5,22,22,23
North America,,2014,16,4,5,22,22,23
North America,,2015,16,4,5,22,22,23
North America,,2016,16,4,6,22,22,23
North America,,2017,16,4,7,22,22,23
North America,,2018,16,4,7,22,22,23
North America,,2019,16,5,7,22,22,23
North America,,2020,17,5,7,22,22,23
North America,,2021,17,5,7,22,22,23
North America,,2022,17,5,8,22,22,23
North America,,2023,17,5,8,22,22,23
Oceania,,1970,0,0,0,0,5,12
Oceania,,1971,0,0,0,0,5,12
Oceania,,1972,0,0,0,0,5,12
Oceania,,1973,0,0,0,0,5,12
Oceania,,1974,0,0,0,0,5,12
Oceania,,1975,0,0,0,0,5,12
Oceania,,1976,0,0,0,0,5,12
Oceania,,1977,0,0,0,0,5,12
Oceania,,1978,1,0,0,0,5,12
Oceania,,1979,2,0,0,0,5,12
Oceania,,1980,2,0,0,0,5,12
Oceania,,1981,2,0,0,0,5,12
Oceania,,1982,2,0,0,0,5,12
Oceania,,1983,2,0,0,0,5,12
Oceania,,1984,3,0,0,0,5,12
Oceania,,1985,3,0,0,0,5,12
Oceania,,1986,3,0,0,0,5,12
Oceania,,1987,3,0,0,0,5,12
Oceania,,1988,3,0,0,0,5,12
Oceania,,1989,3,0,0,0,5,12
Oceania,,1990,3,0,0,0,5,12
Oceania,,1991,3,0,0,0,5,12
Oceania,,1992,3,0,0,0,5,12
Oceania,,1993,3,0,0,0,5,12
Oceania,,1994,3,0,0,0,5,12
Oceania,,1995,3,0,0,0,5,12
Oceania,,1996,3,0,0,1,5,12
Oceania,,1997,3,1,0,1,5,12
Oceania,,1998,3,1,0,1,5,12
Oceania,,1999,3,1,0,1,5,12
Oceania,,2000,3,1,0,1,5,12
Oceania,,2001,3,1,0,1,5,12
Oceania,,2002,3,1,0,1,5,12
Oceania,,2003,3,1,0,1,5,12
Oceania,,2004,3,1,0,1,5,12
Oceania,,2005,3,1,0,1,5,12
Oceania,,2006,3,1,1,1,5,12
Oceania,,2007,3,1,1,1,5,12
Oceania,,2008,5,1,1,2,5,12
Oceania,,2009,5,2,1,3,5,12
Oceania,,2010,5,2,1,4,5,12
Oceania,,2011,5,2,2,4,5,12
Oceania,,2012,5,2,2,5,5,12
Oceania,,2013,6,2,2,7,5,12
Oceania,,2014,6,2,2,9,5,12
Oceania,,2015,6,2,2,11,5,12
Oceania,,2016,6,2,2,11,5,12
Oceania,,2017,6,2,2,11,5,12
Oceania,,2018,6,2,2,12,5,12
Oceania,,2019,6,2,3,12,5,12
Oceania,,2020,7,4,3,12,5,12
Oceania,,2021,7,4,3,12,5,12
Oceania,,2022,7,4,3,12,5,12
Oceania,,2023,7,4,3,12,5,12
South America,,1970,0,0,0,0,3,5
South America,,1971,0,0,0,0,4,6
South America,,1972,0,0,0,0,4,6
South America,,1973,0,0,1,0,5,7
South America,,1974,0,0,1,0,5,7
South America,,1975,0,0,1,0,5,7
South America,,1976,1,1,1,0,5,7
South America,,1977,1,1,1,0,5,7
South America,,1978,1,1,1,0,5,7
South America,,1979,1,1,1,0,5,7
South America,,1980,1,1,1,0,5,7
South America,,1981,1,1,1,0,6,7
South America,,1982,1,1,1,0,6,7
South America,,1983,1,1,1,0,7,7
South America,,1984,1,1,1,0,7,7
South America,,1985,1,1,1,0,8,7
South America,,1986,1,1,1,0,8,7
South America,,1987,1,1,1,0,8,7
South America,,1988,1,1,1,0,8,8
South America,,1989,1,1,2,0,8,8
South America,,1990,2,1,2,0,8,9
South America,,1991,3,1,2,0,8,9
South America,,1992,3,1,2,0,8,9
South America,,1993,3,1,2,0,9,10
South America,,1994,4,2,2,1,9,10
South America,,1995,4,2,2,2,9,10
South America,,1996,4,2,2,5,9,10
South America,,1997,5,2,2,7,9,10
South America,,1998,6,3,3,7,9,10
South America,,1999,7,4,3,8,9,10
South America,,2000,7,4,3,8,9,10
South America,,2001,7,4,3,9,9,10
South America,,2002,8,4,3,9,10,11
South America,,2003,8,4,3,9,10,11
South America,,2004,8,4,3,9,11,11
South America,,2005,8,4,3,9,11,11
South America,,2006,8,4,3,10,11,11
South America,,2007,8,5,3,11,11,11
South America,,2008,8,5,3,11,11,11
South America,,2009,9,6,3,12,11,11
South America,,2010,9,6,3,12,11,11
South America,,2011,9,6,3,12,11,11
South America,,2012,10,6,4,12,11,11
South America,,2013,10,6,4,12,11,11
South America,,2014,10,6,5,12,11,11
South America,,2015,10,6,5,12,11,11
South America,,2016,10,6,7,12,11,11
South America,,2017,10,6,7,12,11,11
South America,,2018,10,7,7,12,11,11
South America,,2019,11,7,7,12,11,11
South America,,2020,11,7,8,12,11,11
South America,,2021,11,7,8,12,11,11
South America,,2022,11,7,8,12,11,11
South America,,2023,11,7,8,12,11,11
World,OWID_WRL,1970,6,3,45,0,121,154
World,OWID_WRL,1971,6,3,46,0,122,155
World,OWID_WRL,1972,10,3,48,0,122,155
World,OWID_WRL,1973,15,5,51,0,125,158
World,OWID_WRL,1974,15,5,52,0,126,160
World,OWID_WRL,1975,15,8,53,0,126,161
World,OWID_WRL,1976,18,9,55,0,126,161
World,OWID_WRL,1977,19,10,55,0,128,162
World,OWID_WRL,1978,22,11,56,0,130,164
World,OWID_WRL,1979,25,13,56,0,131,165
World,OWID_WRL,1980,28,14,56,0,132,166
World,OWID_WRL,1981,30,14,58,0,134,166
World,OWID_WRL,1982,31,14,58,1,136,167
World,OWID_WRL,1983,32,14,58,1,138,169
World,OWID_WRL,1984,36,15,61,1,138,169
World,OWID_WRL,1985,36,15,61,1,140,168
World,OWID_WRL,1986,38,15,63,1,141,168
World,OWID_WRL,1987,40,17,64,3,141,168
World,OWID_WRL,1988,42,18,67,3,142,171
World,OWID_WRL,1989,42,20,68,4,142,171
World,OWID_WRL,1990,45,21,69,6,145,172
World,OWID_WRL,1991,47,22,69,7,146,172
World,OWID_WRL,1992,48,22,69,10,148,172
World,OWID_WRL,1993,54,23,71,11,149,173
World,OWID_WRL,1994,58,25,72,12,151,174
World,OWID_WRL,1995,67,28,74,18,151,175
World,OWID_WRL,1996,70,29,75,26,152,176
World,OWID_WRL,1997,77,33,75,35,152,176
World,OWID_WRL,1998,81,35,77,37,153,176
World,OWID_WRL,1999,84,37,77,42,154,176
World,OWID_WRL,2000,93,40,77,45,155,176
World,OWID_WRL,2001,94,41,79,47,156,176
World,OWID_WRL,2002,103,44,79,51,159,177
World,OWID_WRL,2003,109,49,80,55,159,177
World,OWID_WRL,2004,116,52,84,60,160,178
World,OWID_WRL,2005,121,53,84,66,163,180
World,OWID_WRL,2006,123,55,88,77,164,181
World,OWID_WRL,2007,126,59,90,88,164,181
World,OWID_WRL,2008,133,60,90,97,165,181
World,OWID_WRL,2009,136,65,91,105,166,182
World,OWID_WRL,2010,138,67,92,110,166,182
World,OWID_WRL,2011,140,69,95,114,166,182
World,OWID_WRL,2012,141,70,96,122,167,182
World,OWID_WRL,2013,144,73,98,127,168,182
World,OWID_WRL,2014,145,75,100,135,168,182
World,OWID_WRL,2015,145,75,100,141,168,182
World,OWID_WRL,2016,147,79,106,144,168,182
World,OWID_WRL,2017,149,79,108,146,168,183
World,OWID_WRL,2018,152,84,109,153,168,183
World,OWID_WRL,2019,155,88,114,155,169,183
World,OWID_WRL,2020,158,91,116,157,169,184
World,OWID_WRL,2021,159,93,117,159,170,183
World,OWID_WRL,2022,159,95,118,161,170,184
World,OWID_WRL,2023,161,97,122,164,170,184
